Question,Answer,Class
Do I have option to avail loan under the policy,Policy loans are not allowed.,insurance
What happens in case of me wanting to surrender my policy,"On request for surrender from you, the risk coverage will cease with immediate effect.If you surrender before the end of the 5 years from commencement of the policy, Your fund value (as on date of surrender) will be moved to the ‘Discontinued Policy Fund’ and will earn a minimum guaranteed return as specified by IRDA. The minimum guaranteed interest rate applicable to the ‘Discontinued Policy Fund’ shall be 4% p.a. Such rate may be changed in the future if the IRDA revises the minimum rate for discontinued policies. A fund management charge of 0.50% p.a. will be levied on the ‘Discontinued Policy Fund’ Your fund value as held in the ‘Discontinued Policy Fund’ will be payable to you at end of the 5th policy year In case of the death of the life assured or policyholder, before the payment of the surrender benefit, the amount in the Discontinued Policy Fund will be paid out immediately. If you surrender your policy after completion of 5 years from commencement of the policy, your fund value will be paid to you. On surrender, no additional charges will be levied.Once any surrender payment has been made the policy terminates and no further benefits are payable.",insurance
What is the min-max age at entry/maturity ,Eligibility Criteria Minimum Maximum Age at Entry Age (years) 14 65 Age at Maturity (years) NA 75 All ages mentioned above are age last birthday.,insurance
What is the exclusion in the plan,"In case of death due to suicide within 12 months from the date of inception of the policy or from the date of the revival of the policy, the nominee or beneficiary of the policyholder shall be entitled to the fund value, as available on the date of death. Any charges recovered subsequent to the date of death shall be paid back to the nominee or beneficiary along with the death benefit.",insurance
What are the charges under this policy,"Premium Allocation Charge:This is a premium-based charge. After deducting this charge from your premiums, the remainder is invested to buy units. The remaining percentage of your premium is called the Premium Allocation Rate. The Premium Allocation Rate and Premium Allocation Charge are given in the table below. Single Premium Single Premium Top-Ups Premium Allocation Rate 97.50% 99% Premium Allocation Charge 2.50% 1% Fund Management Charge (FMC): The daily unit price already includes the fund management charge of 1.35% per annum charged daily, of the fund’s value. Policy Administration Charge: The Policy Administration Charge is 0.13% per month of the total premiums paid (including any single premium top-ups).The charge will be deducted monthly, subject to a maximum charge of Rs. 500 per month. This charge will be taken by cancelling units proportionately from each of the fund(s) you have chosen. Mortality Charge:Every month a charge will be levied for providing you with the death cover in your policy. The amount of the charge taken each month depends on your age and level of cover. This charge will be taken by cancelling units proportionately from each of the fund(s) you have chosen. Miscellaneous Charges: You may be charged for Additional Servicing Request(s). Contact your Relationship Manager for further details *Statutory Charges – Service Tax and Education Cess is payable at the applicable rates for all unit linked products.",insurance
What is the Death-Benefit under the plan,"In case of the Life Assured’s unfortunate demise, the nominee will receive the benefit as defined below - Death Summary of Death Benefit Before attainment of age 60 years The nominee will receive the higher of the following Sum Assured (less all withdrawals except from the top-up fund value, made during the two year period immediately preceding the date of death) The total fund value. The policy will terminate thereafter and no more benefit will be payable. On or after attainment of age 60 years The nominee will receive the higher of the following Sum Assured (less all withdrawals except from the top-up fund value made after attainment of age 58) The total fund value. The policy will terminate thereafter and no more benefit will be payable.",insurance
What is the policy term available under the plan,Policy Term of 10 to 40 years is available under the plan.,insurance
Is this plan only available online,HDFC Life Click 2 Protect Plus is an offline term plan. One can buy this plan now offline as well online.,insurance
Why is HDFC Life C2P+ Extra Life Cover important,"C2P Plus Extra Life Option, provides double the benefit in case of death due to accident.",insurance
Does this plan offer tax benefits,"Premiums paid by an individual under this plan are eligible for tax benefits under Section 80C of the Income Tax Act, 1961, subject to the conditions/ limits specified therein. Under Section 10 (10D) of the Income Tax Act, 1961, the benefits received from this policy are exempt from tax, subject to the conditions specified therein. Please note that the above mentioned benefits are as per the current tax rules. You are requested to consult your tax advisor.",insurance
How long will my family get the monthly income for,"Under Income Option, you family would get monthly income for 15 years. Under Income Plus Option, your family would get monthly income for 10 years – level or increasing.",insurance
What is the difference between Income and Income Plus Option,"On the death of the Life Assured under Income Option, 10% of the death benefit is paid as lump sum upon death and the remaining 90% of the death benefit shall be paid as monthly income over next 15 years. On the death of Life Assured under Income Plus Option, 100% of the death benefit is payable as a lump sum benefit and a monthly income of 0.5% of sum assured is paid for 10 years. Also in this option, there is an option to choose Level Income or Increasing Income.",insurance
I am a NRI. Can I Invest in this plan,NRIs can invest in this plan by filling a mandatory NRI questionnaire.,insurance
What is the limited mode of premium pay,A limited premium payment policy requires you to pay premiums for a term lesser than your policy term.,insurance
Is there a loan facility in my policy,No policy loans are available for this product.,insurance
Can I do a partial withdraw from my fund,"You can withdraw money from your funds to meet any future financial emergencies. Lump sum partial withdrawals can be made from your funds after 5 complete policy years, provided the Life Assured is at least 18 years of age.",insurance
Can I terminate my policy,You can surrender you policy subject to a lock in period of 5 years. No discontinuance charge is charged in this policy. Please refer to product brochure for more details on discontinuance of premiums and surrender of policy.,insurance
For how many years can I stay invested in this plan,You can choose a policy term of 5 years to 20 years under this plan.,insurance
Why is this plan good for me,"HDFC Life Click 2 Invest – ULIP, lets you enjoy market linked returns along with valuable financial protection for your family. This plan has minimal charges which help your fund value grow faster. The key features of this plan are: Minimal Charge Structure Choose from a range of 8 fund options Premium payment options of Single Pay, 5 Pay, 7 Pay, 10 Pay or Regular Pay Policy Term of 5 to 20 years Tax exemption under Sec 80C and Sec 10(10D) of IT Act, 1961",insurance
What are the charges applicable for this plan,"HDFC Life Click 2 Invest – ULIP offers a minimal charge structure as stated below: Premium Allocation Charge: Nil Policy Administration Charge: Nil Discontinuance Charge: Nil Fund Management Charge: 1.35% p.a. of the fund value, charged daily Mortality Charge: The amount of the charge taken each month depends on your age and level of cover In addition, only if you request for partial withdrawal, fund switch and premium redirection a charge of Rs 250 per request or a reduced charge of Rs 25 per request (if executed through the company’s web portal) will be charged. First 4 partial withdrawals, 4 fund switches and 4 premium redirections in a policy year are free.",insurance
What is the maximum amount I can invest,"There is no limit on maximum amount that you can invest in this plan, subject to underwriting.",insurance
What is the minimum premium that needs to be paid,"Minimum premium amounts for various premium payment frequencies are as follows: Single: Rs. 24,000 Annual: Rs. 12,000 Half-yearly: Rs. 6,000 Quarterly: Rs. 3,000 Monthly: Rs. 1,000",insurance
Can I surrender this policy,"Yes you can surrender your policy. Once you surrender your policy, your risk cover will cease and surrender benefit will be paid out depending upon the year in which the policy is surrendered. Please refer to product brochure for more details.",insurance
How is this plan different from other ULIPs,HDFC Life Click 2 Invest – ULIP offers: Minimal Charge Structure Premium Payment Term options of single/5 pay/7 pay and regular pay Policy term of 5 to 20 years 8 Fund options Wide entry age range from 0 to 65 years,insurance
What kind of returns will I get by investing in this plan,"In this policy, the investment risk in investment portfolio is borne by the policyholder. Based on the performance of the funds chosen by you, NAV per unit will be calculated. Fund Value will be calculated by multiplying balance units in your fund by the then prevailing NAV price. Below is a sample illustration for a 30 year old male at an assumed investment return of 8% p.a. [email protected]% for 50k Premium Policy Term (years) 20 15 10 5 Regular Pay 20,30,002 12,68,672 7,09,694 2,66,551 Single Pay 1,71,697 1,26,261 92,702 68,063 5 Pay 7,53,609 5,53,310 4,06,582 NA 7 Pay 10,01,084 7,35,010 5,39,654 NA 10 Pay 13,16,517 9,66,604 NA NA Sum Assured multiple is 1.25 times for Single Premium and 10 times for other premium modes",insurance
Are there medicals involved to buy this plan,Yes,insurance
What is the frequency in which I can invest my money,"Single, Annual, Half-yearly, quarterly or monthly",insurance
What are the various fund options in this plan,There are 8 fund options to choose from in this plan Equity Plus Fund Diversified Equity Fund Blue Chip Fund Opportunities Fund Balanced Fund Income Fund Bond Fund Conservative Fund,insurance
Can I save tax by investing in this policy,"Premiums paid by an individual or HUF under this plan are eligible for tax benefits under Section 80C of the Income Tax Act, 1961, subject to the conditions/ limits specified therein. Under Section 10 (10D) of the Income Tax Act, 1961, the benefits received from this policy are exempt from tax, subject to the conditions specified therein. Please note that the above mentioned benefits are as per the current tax rules. Your tax benefits may change if the tax rules are changed. You are requested to consult your tax advisor.",insurance
Can I buy more than one policy,You can buy more than one policy subject to successful underwriting,insurance
What is a settlement option,"Under settlement option, you can also take your fund value at maturity in periodical installments.",insurance
How is the Fund Value calculated,Fund Value will be calculated by multiplying balance units in your fund by the then prevailing NAV price.,insurance
What do I get at the end of the policy term,"At the end of your policy term i.e. at maturity, you will receive your Fund Value.",insurance
What will my family receive in case of my unfortunate demise,"In case of the Life Assured’s unfortunate demise, the nominee will receive the higher of the following: Sum Assured, Fund Value, 105% of the premium(s) paid.",insurance
Is there any protection cover in this plan,"Yes. In case of the Life Assured’s unfortunate demise, the nominee will receive the higher of the following: Sum Assured, Fund Value, 105% of the premium(s) paid. The Sum Assured for your policy will be as follows: Single Premium 125% of Single Premium Regular & Limited Premium (Age at Entry <= 55 years) 10 x annualized premium Regular & Limited Premium (Age at Entry > 55 years) 7 x annualized premium",insurance
What are the different plan options under the plan,The plan options available under HDFC Life Sampoorn Samridhi Plus are :- Endowment – policy terminates after the maturity payout Endowment with Whole Life – life cover continues after the maturity payout till 100 years of age,insurance
What will I be getting on maturity,"At the end of the policy term, provided all due premiums have been paid, you will receive the aggregate of: Sum Assured on Maturity Accrued Guaranteed Additions Accrued Reversionary Bonuses Interim Bonus (if any) Terminal Bonus (if any)",insurance
What is the exclusion in the plan,"In case of death due to suicide, within 12 months; From the date of inception of the policy, the nominee of the policyholder shall be entitled to 80% of the premiums paid, provided the policy is in-force. From the date of revival of the policy, the nominee of the policyholder shall be entitled to an amount which is higher of 80% of the premiums paid till the date of death or the surrender value as available on the date of death. For exclusions related to accidental death benefit, please refer the sales brochure or contact your Relationship manager.",insurance
What is the limited premium payment term available under this policy,Policy term minus 5 years.,insurance
What are the guaranteed benefits that are there in the policy,"The Product offers two types of guaranteed benefits: 1. Guaranteed Additions – 3% to 5% of ‘Sum Assured on Maturity‘ accrue during first 5 policy years, payable at maturity or death, whichever is earlier, provided the policy is in force Policy Term Guaranteed Additions (% of Sum Assured on Maturity) 15 years to 19 years 3 % p.a. 20 years to 24 years 4 % p.a. >=25 years 5 % p.a. 2. Sum Assured on Maturity – 100% of 'Sum Assured on Maturity' is payable at maturity, provided the policy is in force.",insurance
What is the death benefit under this plan,"On death of the life assured during the policy term, provided all due premiums have been paid, the nominee will receive the higher of the following: Sum Assured on Death + Accrued Guaranteed Additions + Accrued Reversionary Bonuses + Interim bonus (if any) + Terminal bonus (if any) 105% of premiums* paid till date Where Sum Assured on Death shall be the higher of: Sum Assured on Maturity 10 times Annualized Premium* for entry age up to 50 years and 7 times Annualized Premium* for entry age greater than 50 years *excludes any underwriting extra premiums, modal loadings and taxes paid",insurance
Is there any Accidental Death Benefit in the policy,"Yes. In case of death due to accident during the term of the policy, an additional benefit equal to 'Sum Assured on Death' is payable. This amount is payable provided the life assured is aged 18 years & above on the date of death.",insurance
What are the premium paying frequencies that are available under this policy,"The premium payment frequencies under this plan are Annual, Half yearly, Quarterly and Monthly.",insurance
Do I have option to avail loan under the policy,The policyholder can avail Loan under the policy provided the policy has acquired a surrender value and subject to terms and conditions as the Company may specify from time to time.,insurance
What is the duration of the policy term in case I choose 'Endowment' or 'Endowment with Whole Life' option,"Policy Term is the period at the end of which the maturity benefit will be paid. One can choose a policy term of 15 to 40 years. In case of “Endowment” Option, the life insurance cover will cease after policy term. In case of “Endowment with Whole Life”, the life insurance cover shall continue even after the policy term, till the age of 100 years.",insurance
When does the plan acquire Guaranteed Surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid. The GSV shall be aggregate of: Percentage of total premiums paid Percentage of accrued bonuses and accrued guaranteed additions Please refer the sales brochure or contact your Relationship manager to know the percentage factors for GSV,insurance
What is the HDFC Life Cancer Care Policy,"HDFC Life brings to you a comprehensive Cancer Care plan that provides financial protection for both early and major stage of cancer with several unique features like: This is a plan that not only gives pay outs but also a waiver on premium for the next 3 policy years on diagnosis of early stage of cancer There is an increased benefit where the Sum insured under the policy increases every year under the Gold and Platinum option. Also, there is an income benefit under the Platinum option",insurance
What are the Plan Options available for this product,"There are 3 plan options available in this product namely Silver, Gold and Platinum. The base benefit is applicable on all the 3 options. The increased benefit is applicable on Gold and Platinum options where as income benefit is applicable only on the Platinum option.",insurance
What is the discounted Premium on higher Sum Assured,"There would be rebates in the form of lower premium rates for incremental Sum Insured over & above Rs. 10,00,000.",insurance
Would I have to go for any medicals,"No, there would not be medical tests involved in this plan.",insurance
Can I opt for this plan if I have a pre existing Cancer,"No, you are not eligible for the plan if you have pre existing Cancer.",insurance
Is there any death benefit for this plan,HDFC Life Cancer Care plan aims to aid the expenses to survive through the dreaded disease like Cancer. Hence it has benefits linked to diagnosis and treatment of disease and no death benefit is payable.,insurance
Is there any maturity benefit for this plan,"No, there is no maturity benefit available under this plan.",insurance
Is there any Surrender benefit for this plan,"No, there is no surrender value available under this plan.",insurance
Can I save tax by investing in this policy,"Premiums paid by an individual or HUF under this plan are eligible for tax benefits under Section 80C of the Income Tax Act, 1961, subject to the conditions/ limits specified therein. Under Section 10 (10D) of the Income Tax Act, 1961, the benefits received from this policy are exempt from tax, subject to the conditions specified therein. Please note that the above mentioned benefits are as per the current tax rules. Your tax benefits may change if the tax rules are changed. You are requested to consult your tax advisor.",insurance
What is Extra Life Option in the policy,"You can opt for Extra life Option under Classic Benefit under the plan. In case of death due to accident during the term of the policy, an additional Sum Assured will be payable to the Nominee in addition to the Death Benefit under the Plan. Please refer to product brochure for further details and/or consult Relationship Manager.",insurance
What are the Plan options available,There are 3 Plan Options available under HDFC Life Sampoorn Nivesh as mentioned below: 1. Classic Benefit 2. Classic Plus Benefit 3. Classic Waiver Benefit You can choose any one of the above options on inception based on your requirements. Please refer to the product brochure for more detailsand/or consult Relationship Manager.,insurance
What are the exclusions available under the Plan,"In case of death due to suicide within 12 months from the date of inception of the policy or from the date of the revival of the policy, the nominee or beneficiary of the policyholder shall be entitled to the fund value, as available on the date of death. Any charges recovered subsequent to the date of death shall be paid back to the nominee or beneficiary along with the death benefit. In case, the Policyholder has opted Extra Life Option under the Plan, the Accidental Death Benefit will be payable subject to terms and conditions. For detailed exclusions please refer to product brochure carefully and/or consult Relationship Manager.",insurance
Can I do any free switch or premium redirection under the plan,Yes. You get 4 Free Fund Switch / Premium Redirection in a given policy year to create your own investment strategy. Please refer to product brochure for more details and/or consult Relationship Manager.,insurance
What are the fund options,"The plan offers 8 Funds (including 4 New Funds) of varying risk and return profiles. The Policyholder has the option to choose any one or more funds based on his/her Risk Appetite. The Fund Options available under the Plan are Equity Plus Fund, Diversified Equity Fund, BlueChip Fund, Opportunities Fund, Balanced Fund, Income Fund, Bond Fund and Conservative Fund",insurance
Can I take any loan,Policy loan is not offered in this plan.,insurance
How is the Fund Value calculated,Fund Value will be calculated by multiplying balance units in your fund by the then prevailing NAV price. Please refer to product brochure for more details and/or consult Relationship Manager.,insurance
What is the surrender benefit,"If you surrender before completion of the 5th policy year, your Fund Value less applicable charges will be moved to the DPF after deducting applicable charges, if any and the proceeds from DPF will be paid out on the completion of the lock-in period. If you surrender after completion of the 5th policy year your Fund Value will be paid out to you. Upon payment of this benefit the policy terminates and no further benefits are payable. Please refer to the Product Brochure for further details and/or consult Relationship Manager.",insurance
What is the minimum premium that needs to be paid,"Minimum premium amounts for various premium payment frequencies are as follows: Single: Rs. 24,000 Annual: Rs. 24,000 Half-yearly: Rs. 12,000 Quarterly: Rs. 6,000 Monthly: Rs. 2,000",insurance
What is the death benefit under this plan,"The Death Benefit will depend on the Benefit Option opted under the Plan on inception. In case of unfortunate demise of the life assured during the policy term, the nominee will be paid: Classic Benefit – Higher of Sum Assured or Fund Value Classic Plus Benefit – Sum Assured + Fund Value Classic Waiver Benefit – Sum Assured + Waiver of Premium till maturity + Fund Value on maturity This is subject to minimum payment of 105% of the total premiums paid. Please refer to product brochure for more details and/or consult Relationship Manager.",insurance
What is the maximum amount I can invest,"There is no limit on maximum amount that you can invest under this plan, subject to underwriting.",insurance
What are the premium paying frequencies that are available under this policy,"The premium payment frequencies under this plan are Annual, Half yearly, Quarterly and Monthly or Single",insurance
For how many years can I stay invested in this plan,You can choose a policy term of 10 years or 15 to 25 years under this plan.,insurance
Is there any Loyalty Additions under the Plan,"Yes. Loyalty additions (as percentage of the average fund value) will be added to the fund value every alternate year starting from the end of 11th policy year for limited and regular premium payment policies. For single premium policies, the Loyalty Additions will be 1.50% of the average fund value. The Loyalty Addition shall be payable at the end of every policy year from year 10 to 14 (both inclusive).Please refer to product brochure for more detailsand/or consult Relationship Manager.",insurance
What do I receive on Maturity,You will receive the Fund Value on maturity as a lump sum amount or you can choose to receive the same over a period of 5 years through Settlement Option.,insurance
What happens if premiums are not paid,"In case the Policyholder has not paid the premium by the expiry of the grace period, he/she will have the following options: to revive the Policy within a period of 2 years from the date of discontinuance, or to completely withdraw from the Policy without any risk cover, or to convert the policy into paid-up policy (available only on discontinuance after completion of the 5 policy years) If you do not communicate to us on the above options, the following treatment will be applicable Discontinuance before completion of 5 years from commencement of the policy: Fund Value less applicable charges will be moved to ‘Discontinued Policy Fund (DPF)’.The proceeds from DPF will be paid out upon the completion of the lock-in period. Discontinuance on and after completion of the 5 years from commencement of the policy: Fund Value will be paid out to you. You have the option to revive a discontinued policy within two consecutive years from the date of discontinuance of the policy, subject to payment of all due & unpaid premiums and our underwriting policy.",insurance
What is the Settlement Option,"In Settlement Option the Fund value is paid in periodical installments over a period which may extend up to 5 years. The value of installment payable on the date specified shall be subject to investment risk i.e. the NAV may go up or down depending upon the performance of the funds chosen by you. Your money will remain invested in the funds chosen by you and is subject to the same investment risks as during the policy term. During the Settlement period, the risk cover will cease, Fund Management Charge will continue to be deducted and no other charges shall be levied. Partial withdrawals and switches shall not be allowed during this period. Complete withdrawal may be allowed at any time during this period without levying any charge. At the end of this 5-year period, the balance units will be redeemed at the then prevailing unit price and the fund value will be paid to you.",insurance
Can I buy more than one policy,You can buy more than one policy subject to successful underwriting.,insurance
Can I do a partial withdraw from my fund,"You can withdraw money from your funds to meet any future financial emergencies. Lump sum partial withdrawals can be made from your funds after 5 complete policy years, provided the Life Assured is at least 18 years of age. Get 4 Free Partial Withdrawals in a policy year. Please refer to product brochure for more details and/or consult Relationship Manager.",insurance
What are the features that are available with HDFC Life Uday,The features available with HDFC Life Uday are : Easy Issuance on the basis of Declaration of Good Health (DOGH) Guaranteed Additions to boost your maturity value In-built Accidental Death Benefit in case of death due to an accident Auto-Cover Continuance even if you miss paying a premium,insurance
What is the minimum premium that I need to pay in order to take an HDFC Life Uday Policy,"HDFC Life Uday low ticket size which makes it affordable for customers from all income segments. The minimum premiums have been outlined below : Frequency of Premium Payment Minimum Installment Premium Maximum Installment Premium Annual Rs. 5,000 No limit2 Half-Yearly Rs. 2,500 Quarterly Rs. 1,250 Monthly Rs. 500 1The minimum premium amounts are exclusive of applicable service tax and education cess. 2The acceptance of any case is subject to Board approved underwriting policy. 3If you opt for the monthly premium frequency, three months premiums in advance on the date of commencement of policy shall be accepted, as a prerequisite to allow monthly mode of premium payment.",insurance
What if I miss one of my due premiums,"We understand that you may not be in the best of financial health always. Keeping this in mind, we have incorporated the Auto Cover Continuance feature in HDFC Life Uday. Under this feature, for a reduced paid-up policy the full death benefit shall continue for a period of one year (Auto Cover Continuation period) from the date of first unpaid premium. Auto Cover Continuance applies only to the basic death benefit and not to the additional accidental death benefit. At the time of payment of death benefit during the Auto Cover Continuation period the due but unpaid premium shall not be deducted from the benefit payable. The basic death benefit payable during this one year shall be the higher of: Sum Assured on Death + Accrued Guaranteed Additions + Accrued Reversionary Bonus (if any) + Interim Bonus (if any) + Terminal Bonus(if any) 105% of Premiums paid During the auto cover continuance period, the additional accidental death benefit shall be reduced to paid-up Sum Assured on Death. The Guaranteed Additions and Reversionary Bonuses accrued till due date of first unpaid premium shall become payable on death and no further Guaranteed Additions or Reversionary Bonus shall accrue to the policy.",insurance
When does my policy acquire a Guaranteed Surrender Value (GSV),"It is advisable to continue your policy in order to enjoy full benefits of your policy. However, we understand that in certain circumstances you may want to surrender your policy.The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid for premium payment term of less than 10 years and 3 full years’ premium have been paid for premium payment term of 10 years and above.The GSV shall be the aggregate of: Percentage of total premiums paid Percentage of accrued bonuses & accrued guaranteed additions Premiums will exclude any underwriting extra premiums and any taxes paid For details on GSV percentage (factors), please refer to the Product Brochure.",insurance
Can I take a loan under HDFC Life Uday in case I need money during any emergencies,Yes. You can take a policy loan under this policy provided that your policy has acquired a surrender value and subject to terms and conditions that the company may specify from time to time.,insurance
What are the minimum and maximum age limits for investing in HDFC Life Uday,The age limits for HDFC Life Uday have been highlighted below : Minimum Entry Age 18 Years Maximum Entry Age 55 Years Minimum Maturity Age 30 Years Maximum Maturity Age 70 Years,insurance
What is the rate of Guaranteed Additions that s available in this policy,"Provided the policy is in force and all due premiums have been paid, you will receive Guaranteed Additions of 3% p.a for the first 5 years of your policy over and above the Bonus that will be declared.",insurance
What is the death benefit that I receive if I choose HDFC Life Uday,"On the unfortunate event of your death during the policy term, the nominee will receive the higher of : Sum Assured on Death + Accrued Guaranteed Additions + Accrued Reversionary Bonuses (if any) + Interim Bonus (if any) + Terminal Bonus (if any) 105% of Premiums paid The Sum Assured on Death shall be the higher of: Sum Assured on Maturity An absolute amount assured to be paid on death, which in this case, is equal to the Sum Assured on Maturity 10 times Annualised Premium for entry age up to 50 years and 7 times Annualized Premium for entry age greater than 50 years An additional benefit equal to 100% of ‘Sum Assured on Death’ will be payable in case of death due to an accident.",insurance
What is the maturity benefit that I receive if I invest in this plan,"On survival till the end of the policy term, you will receive a lump sum amount which will be the aggregate of : Sum Assured on Maturity Accrued Guaranteed Additions Accrued Reversionary Bonus Interim Bonus (if any) Terminal Bonus (if any)",insurance
Is there any discount if I choose higher premiums,"Yes. To reward you for your showing faith in the HDFC Life Uday policy, there is a High Sum Assured Rebate. The conditions are mentioned below : Sum Assured on Maturity(Rs) PPT 8 years PPT 10 years Less than 2,00,000 Nil Nil 2,00,000 to 4,99,999 5 2.5 5,00,000 or above 7.5 5",insurance
What are the Policy Terms and Premium Payment Term options available under HDFC Life Uday,"You have an option to select a Policy Term of 12 years or 15 years. For a 12 year term, the premium payment term is 8 years while for a 15 year term, you have the option of selecting a premium payment term of 8 years or 10 years.",insurance
What if I need the money for an emergency,"My money is locked with you.This is a pension plan which accumulates your money for the retirement kitty. Since this is for old age, it has a restricted liquidity. You can withdraw maximum up to 1/3rd of the money in case of an emergency after 5 years of commencement of the plan. However, the rest must be converted into annuity, and will be paid periodically.",insurance
What is so special about this product,"HDFC Life APP has benefits such as: Capital Guarantee of 101% - 135% - APP is a unit linked plan that provides you the upside of the equity markets. However, to protect you from the market downfall, you have the Assured Vesting Benefit of 101% -135%, depending on the Premium Paying Term and Policy Term combination. This means that your capital is completely protected from any downside Pension Multipliers – As a Loyalty benefit, Pension Multipliers would be added to the fund value every alternate year starting from the end of 11th policy year. These additions will be equivalent to 1% of average fund value for the immediate preceding two years, subject to the policy being in force and all premiums paid till date. Early start to boost your corpus – With APP you can start your retirement planning as early as 18 years. The earlier you start, you would gain from the power of compounding and be able to build a bigger corpus before your retirement Lower vesting age limits – The minimum vesting age of APP is 45 years, this would help you to plan for early retirement",insurance
What would be the annuity rates at the time of maturity,"Annuity rates are a function of prevailing market conditions at the time the annuity is bought. Other factors that determine annuity rate are - gender, age, annuity option chosen & premium band. Hence, it would not be possible to commit on the annuity rate at this point.",insurance
I have 30 years to my retirement. Why do I need to plan now,"This is the best part of your life. You have time on your side. So you can act now and ensure a smooth retirement. Please remember that retirement is inevitable & early planning for retirement is really helpful. The earlier you start investing in your retirement, the bigger would be your retirement kitty, thanks to the power of compounding. You can actually build up a larger sum with a comparatively smaller investment if you start early. So please think about this and act now.",insurance
Are top-ups allowed in this plan,There isn’t any provision of top-up premiums in this plan.,insurance
What are the steps involved to purchase this policy quickly in case I am travelling and do not have much time,"Taking you through the procedure and form filling - only KYC documents, signature on proposal form and payment instrument are required. You can also pay online through HDFC Bank NetBanking, Debit card or Credit card. This being a pension plan, you don’t need to go through any medicals. After your form is logged in, you would receive a verification call the next day. Once the verification call is closed with an affirmative from your end, your policy would be issued and the Policy Bond would be delivered to your Demat Account. This Demat Account is completely free of cost. Thus it would not take much time.",insurance
I don’t want to wait till 60 years for retirement. Is there a way out,"This plan has a minimum vesting age of 45 years only, which would help to plan for an early retirement. You don’t need to wait till 60 years of age. However, once you have fixed your vesting age, it is recommended that you continue for the entire term.",insurance
What is the HDFC Life Assured Pension Plan,"The Assured Pension Plan is a Unit Linked Pension Plan recently launched by HDFC Life. This plan aims to help you plan for a steady income source for retirement. You can choose from a variety of Premium paying & policy term options as per your comfort and plan your retirement. HDFC Life APP provides you the benefit of equity participation with the comfort of a capital guarantee. To boost your fund value, you also have the pension multipliers that are added to your fund post 11th year.",insurance
Why should I buy HDFC Life Assured Pension Plan,"One of the biggest challenges of planning for your retirement is to ensure that you have saved enough money during your working years that will take care of your expenses once you retire. Given the rising cost of living, increased life expectancy and inflation, it is always wise to invest in a Pension Plan. HDFC Life Assured Pension Plan can help you achieve your retirement goals by planning for it well in advance.",insurance
HDFC Life APP is a ULIP Plan. Why don’t I get to choose the funds in this plan,HDFC Life APP provides you a guarantee (between 101% -135%) of the premiums paid. This is why the choice of funds are predefined as per the Equity Backing Ratio and is not available for customised allocation by customers.,insurance
Are there any tax benefits available,"The premiums paid by you are eligible for tax benefits under Section 80CCC of the Income Tax Act, 1961. Up to 1/3rd of the policy proceeds can be taken as tax-free commuted value, as prescribed under Sec 10 (10A) of the Income Tax Act, 1961.",insurance
I have other sources of income. Do I still need to plan for retirement,"Diversification of income source is good. However, as you get older, you might not be able to work the way you can now. The other sources of income might not turn out to be as successful as they are today. Hence, it is prudent to plan for your retirement through a pension plan.",insurance
How would you utilise my funds,"Your funds will be invested into Equity and Debt instruments as per the Equity Backing Ratio defined by the company. This is to provide you with maximum returns from market upside, as well as protect your capital from any downfall.",insurance
Do I get a life cover from this plan,"APP being a Pension plan does not have a life cover; however, the death benefit is higher of FV or 105% of the premiums paid till date.",insurance
Can I exercise the freelook option in this policy,"In case you are not agreeable to any of our terms or conditions, you have the option of returning the policy to HDFC Life stating the reasons thereof, within 15 days of receipt of the policy bond.",insurance
Can I get a loan or partial withdrawal on this plan,You cannot avail any loan or make partial withdrawal from this plan.,insurance
When do I get to choose the annuity option,"You need to give a default option now, i.e., at the time of purchase of this policy. However, depending on your situation, you always have the option to change/ alter the annuity option at the time of maturity of the pension policy. HDFC Life will get in touch with you 3-6 months before the maturity of the policy and you can revisit your annuity choice options then. In case you don’t revert to HDFC Life at that point of time, the default annuity options chosen earlier would be considered and your annuity payments would commence. However, after commencement of annuity you won’t be able to make any further alterations.",insurance
What is HDFC Life Easy Health Plan,"HDFC Life Easy Health is a fixed benefit, health insurance plan that provides coverage against Critical Illnesses, specified Surgeries and also provides Daily Hospital Cash Benefit in case of hospitalization. This cover will be available for a period of 5 years.",insurance
What are the different plan options available under this product,You can select 1 or a combination of 2 or 3 benefits available under this plan. There are 7 plan options that you can select from. They are as follows: PLAN OPTION BENEFITS COVERED 1 Daily Hospital Cash Benefit 2 Surgical Benefit 3 Critical Illness Benefit 4 Daily Hospital Cash Benefit + Surgical Benefit 5 Surgical Benefit + Critical Illness Benefit 6 Daily Hospital Cash Benefit + Critical Illness Benefit 7 Daily Hospital Cash Benefit + Surgical Benefit + Critical Illness Benefit,insurance
Would I have to go for any medicals,"No, there would not be medical tests involved with this plan.",insurance
What are the different Sum Insured options available underthis product,"There are 10 different Sum Insured options to select from, starting as low as Rs.25,000. The different options available are as follows: OPTION SUM ASSURED 1 Rs 25,000 2 Rs 50,000 3 Rs 75,000 4 Rs 1,00,000 5 Rs 1,50,000 6 Rs 2,00,000 7 Rs 2,50,000 8 Rs 3,00,000 9 Rs 4,00,000 10 Rs 5,00,000",insurance
